id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,lat,long,posting_date
7314410753,chicago,17500,2015.0,mini,cooper s countryman,excellent,5 cylinders,gas,46890.0,clean,manual,4wd,full-size,SUV,grey,42.364188,-87.864796,2021-04-29T12:45:36-0500
7314410652,chicago,14000,2007.0,jeep,wrangler,excellent,5 cylinders,gas,144506.0,clean,automatic,4wd,full-size,SUV,white,42.364188,-87.864796,2021-04-29T12:45:25-0500
7314410517,chicago,23500,2015.0,mercedes-benz,e-class,excellent,5 cylinders,gas,53715.0,clean,automatic,4wd,full-size,sedan,white,42.364188,-87.864796,2021-04-29T12:45:14-0500
7314407658,chicago,3999,2003.0,ford,f-150 xlt,fair,8 cylinders,gas,118341.0,clean,automatic,4wd,full-size,pickup,white,42.3542,-87.8651,2021-04-29T12:40:14-0500
7314403674,chicago,10950,2006.0,chrysler,/ vmi / ♿,excellent,6 cylinders,gas,97977.0,clean,automatic,fwd,full-size,mini-van,white,40.1073,-88.2788,2021-04-29T12:33:35-0500
7314403611,chicago,29000,1980.0,volkswagen,vanagon l bus,excellent,5 cylinders,gas,93990.0,clean,automatic,4wd,full-size,bus,blue,41.2919,-95.9999,2021-04-29T12:33:30-0500
7314398471,chicago,3500,2011.0,chevrolet,cruze,good,4 cylinders,gas,142254.0,clean,automatic,fwd,compact,sedan,blue,42.1458,-88.023,2021-04-29T12:24:53-0500
7314397097,chicago,19900,2013.0,bmw,550i xdrive,excellent,8 cylinders,gas,69500.0,clean,automatic,4wd,full-size,sedan,white,42.073,-88.0191,2021-04-29T12:22:28-0500
7314395932,chicago,3300,2013.0,ford,transit connect,fair,5 cylinders,gas,1.0,clean,automatic,4wd,full-size,van,grey,41.622595,-87.633814,2021-04-29T12:20:30-0500
7314393741,chicago,7985,2009.0,honda,civic lx,like new,5 cylinders,gas,70615.0,clean,automatic,4wd,full-size,offroad,grey,41.8721,-87.6578,2021-04-29T12:17:03-0500
7314392649,chicago,17900,2008.0,ford,genesis coupe 3.8 track,fair,5 cylinders,diesel,250000.0,clean,automatic,4wd,full-size,offroad,grey,41.9798,-88.0857,2021-04-29T12:15:21-0500
7314390347,chicago,5985,2006.0,bmw,3 series 325i,excellent,5 cylinders,gas,179890.0,clean,automatic,4wd,full-size,offroad,grey,41.9033,-87.6336,2021-04-29T12:11:31-0500
7314389238,chicago,3700,2013.0,ford,transit connect,fair,5 cylinders,gas,1.0,clean,automatic,4wd,full-size,van,grey,41.622595,-87.633814,2021-04-29T12:09:39-0500
7314388555,chicago,3900,2005.0,mitsubishi,outlander,good,4 cylinders,gas,98000.0,clean,automatic,4wd,mid-size,SUV,grey,41.937908,-87.806676,2021-04-29T12:08:29-0500
7314388214,chicago,5999,2012.0,subaru,impreza 2.0i premium,like new,5 cylinders,gas,147359.0,clean,automatic,4wd,full-size,offroad,grey,41.8721,-87.6578,2021-04-29T12:07:57-0500
7314385958,chicago,39888,2019.0,ford,mustang,fair,8 cylinders,gas,13144.0,clean,manual,rwd,full-size,coupe,black,41.720285,-87.773209,2021-04-29T12:04:23-0500
7314385283,chicago,8449,2011.0,buick,lacrosse cxl,excellent,4 cylinders,gas,143827.0,clean,automatic,4wd,full-size,sedan,grey,41.806344,-87.723149,2021-04-29T12:03:22-0500
7314379870,chicago,27500,1998.0,jaguar,F8OO DUMP TRUCK,excellent,6 cylinders,diesel,139448.0,clean,automatic,rwd,full-size,truck,white,40.1164,-88.2434,2021-04-29T11:54:41-0500
7314377517,chicago,2300,2009.0,honda,civic,fair,5 cylinders,electric,1.0,clean,automatic,4wd,compact,sedan,grey,41.622595,-87.633814,2021-04-29T11:50:28-0500
7314375777,chicago,8900,2010.0,jaguar,Prius IV,excellent,4 cylinders,hybrid,85000.0,clean,automatic,fwd,full-size,hatchback,silver,41.704,-88.1952,2021-04-29T11:47:39-0500
7314374304,chicago,5999,2007.0,cadillac,cts,fair,6 cylinders,gas,96090.0,clean,automatic,4wd,full-size,sedan,black,41.928026,-87.958979,2021-04-29T11:45:13-0500
7314372181,chicago,1695,2005.0,honda,odyssey,fair,5 cylinders,gas,291000.0,clean,automatic,4wd,full-size,offroad,grey,41.972,-88.0202,2021-04-29T11:41:41-0500
7314371793,chicago,1800,2002.0,jaguar,G20,fair,4 cylinders,gas,204000.0,clean,automatic,fwd,full-size,sedan,silver,41.8744,-88.1516,2021-04-29T11:41:00-0500
7314368510,chicago,2499,2001.0,acura,cl 3.2,fair,6 cylinders,gas,155730.0,clean,automatic,4wd,full-size,coupe,silver,42.3542,-87.8651,2021-04-29T11:35:24-0500
7314368076,chicago,22000,2007.0,volvo,vnl 670,good,5 cylinders,diesel,1200000.0,clean,manual,4wd,full-size,offroad,white,41.8482,-88.3098,2021-04-29T11:34:45-0500
7314366716,chicago,3949,2002.0,jeep,grand cherokee laredo,excellent,8 cylinders,gas,149770.0,clean,automatic,4wd,full-size,SUV,grey,41.806344,-87.723149,2021-04-29T11:32:39-0500
7314366301,chicago,0,2014.0,toyota,prius v,fair,4 cylinders,hybrid,130866.0,clean,automatic,fwd,full-size,sedan,white,41.850685,-87.761225,2021-04-29T11:31:55-0500
7314365028,chicago,20000,1987.0,ford,ranger,like new,8 cylinders,gas,8.0,clean,automatic,rwd,full-size,pickup,yellow,42.123,-88.2606,2021-04-29T11:30:00-0500
7314362132,chicago,32964,2018.0,jeep,grand cherokee,fair,5 cylinders,gas,28227.0,clean,automatic,4wd,full-size,SUV,grey,42.28203,-87.936735,2021-04-29T11:25:21-0500
7314358969,chicago,4999,2007.0,volkswagen,passat 2.0t,fair,4 cylinders,gas,142672.0,clean,automatic,4wd,full-size,sedan,silver,42.03685,-88.264418,2021-04-29T11:20:18-0500
7314358996,chicago,2300,2009.0,honda,civic,fair,5 cylinders,other,1.0,clean,automatic,4wd,sub-compact,sedan,grey,41.622595,-87.633814,2021-04-29T11:20:20-0500
7314357905,chicago,899,2014.0,toyota,venza le,like new,5 cylinders,gas,40593.0,clean,automatic,4wd,full-size,offroad,grey,41.8805,-87.6873,2021-04-29T11:18:34-0500
7314357811,chicago,4600,2001.0,volvo,v 70 t5,excellent,5 cylinders,gas,137000.0,clean,automatic,fwd,mid-size,wagon,white,42.0467,-87.8859,2021-04-29T11:18:26-0500
7314357191,chicago,4900,2008.0,honda,civic ex,fair,5 cylinders,gas,120000.0,clean,automatic,4wd,full-size,offroad,grey,41.7781,-87.7069,2021-04-29T11:17:27-0500
7314356044,chicago,16500,2014.0,buick,enclave,excellent,5 cylinders,gas,76685.0,clean,automatic,fwd,full-size,SUV,grey,42.364188,-87.864796,2021-04-29T11:15:41-0500
7314355879,chicago,3800,2011.0,gmc,acadia,fair,5 cylinders,gas,1.0,clean,automatic,4wd,full-size,wagon,white,41.622595,-87.633814,2021-04-29T11:15:27-0500
7314355886,chicago,11000,2008.0,ford,f-150,excellent,5 cylinders,gas,150301.0,clean,automatic,4wd,full-size,pickup,grey,42.364188,-87.864796,2021-04-29T11:15:27-0500
7314355762,chicago,2700,2012.0,ford,escape,fair,5 cylinders,gas,1.0,clean,automatic,4wd,full-size,SUV,grey,41.622595,-87.633814,2021-04-29T11:15:17-0500
7314355735,chicago,24000,2017.0,acura,rdx,excellent,5 cylinders,gas,30487.0,clean,automatic,4wd,full-size,SUV,grey,42.364188,-87.864796,2021-04-29T11:15:14-0500
7314355663,chicago,5500,2007.0,acura,rdx,good,4 cylinders,gas,160000.0,clean,automatic,4wd,mid-size,SUV,white,41.439,-87.6027,2021-04-29T11:15:08-0500
7314355191,chicago,4799,2010.0,chevrolet,malibu lt,fair,5 cylinders,gas,161772.0,clean,automatic,4wd,full-size,offroad,grey,41.9019,-87.6779,2021-04-29T11:14:24-0500
7314353530,chicago,429,2018.0,chevrolet,traverse,fair,6 cylinders,other,35348.0,clean,automatic,fwd,full-size,SUV,red,42.3937,-88.1648,2021-04-29T11:11:41-0500
7314352855,chicago,15980,2017.0,chevrolet,malibu,fair,4 cylinders,gas,22778.0,clean,automatic,fwd,full-size,sedan,blue,41.603291,-87.762273,2021-04-29T11:10:37-0500
7314352782,chicago,27500,1987.0,chevrolet,r10,fair,5 cylinders,gas,69307.0,clean,automatic,4wd,full-size,offroad,grey,33.6372,-96.6184,2021-04-29T11:10:30-0500
7314352758,chicago,32980,2014.7,jaguar,a Highlander,fair,6 cylinders,gas,7771.0,clean,automatic,fwd,full-size,SUV,white,41.603291,-87.762273,2021-04-29T11:10:28-0500
7314352632,chicago,15875,2008.0,jeep,wrangler,fair,5 cylinders,gas,159760.0,clean,manual,4wd,full-size,offroad,grey,41.8793,-87.8433,2021-04-29T11:10:18-0500
7314352133,chicago,5500,1981.0,mercedes-benz,benz 380sl,good,8 cylinders,gas,182000.0,clean,manual,fwd,full-size,convertible,blue,41.9703,-87.7042,2021-04-29T11:09:30-0500
7314351392,chicago,28500,2016.0,ford,explorer xlt,excellent,6 cylinders,gas,70000.0,clean,automatic,4wd,full-size,SUV,green,41.558633,-87.792749,2021-04-29T11:08:16-0500
